incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt
新竹市垃圾資源回收廠,2015,178700,75897.97,251389.2
新竹市垃圾資源回收廠,2014,169992.1,69269.07,240244
新竹市垃圾資源回收廠,2013,183057.2,64428.99,243947.7
新竹市垃圾資源回收廠,2012,177571.7,60639.37,233872.4
新竹市垃圾資源回收廠,2011,148996.2,59313.18,204419.5
新竹市垃圾資源回收廠,2010,136680.3,57228.04,194129.4
新竹市垃圾資源回收廠,2009,89687.11,54355.33,142493.6
新竹市垃圾資源回收廠,2008,84754.6,87969.43,174322
新竹市垃圾資源回收廠,2007,156634.3,109663.8,254436.1
新竹市垃圾資源回收廠,2006,128769.1,103528.2,228933.7
新竹市垃圾資源回收廠,2005,129064.1,86356.31,213683.7
新竹市垃圾資源回收廠,2004,160502.3,106447.2,261190.7
新竹市垃圾資源回收廠,2003,165868.4,107156.2,270513
新北市樹林垃圾焚化廠,2021,257030.7,30320.18,292595.1
新北市樹林垃圾焚化廠,2020,234347.2,32523.97,265261.3
新北市樹林垃圾焚化廠,2019,233529.9,35698.66,277187.8
新北市樹林垃圾焚化廠,2018,254994.5,35285.43,304476.7
新北市樹林垃圾焚化廠,2017,283554.8,6200.21,298807.7
新北市樹林垃圾焚化廠,2016,240801.8,69677.27,310735
新北市樹林垃圾焚化廠,2015,235321.1,72303.7,321092.8
新北市樹林垃圾焚化廠,2014,253245.5,45488.62,295547.2
新北市樹林垃圾焚化廠,2013,264748.1,16889.13,276042.3
新北市樹林垃圾焚化廠,2012,275983.5,0,284434.1
新北市樹林垃圾焚化廠,2011,249630,0,252710.2
新北市樹林垃圾焚化廠,2010,266046.8,0,264087.4
新北市樹林垃圾焚化廠,2009,315364.8,0,311918
新北市樹林垃圾焚化廠,2008,353312.9,0,363708.3
新北市樹林垃圾焚化廠,2007,353782.2,0,351198.3
新北市樹林垃圾焚化廠,2006,329659.3,0,335942.3
新北市樹林垃圾焚化廠,2005,346604.6,0,355891.2
新北市樹林垃圾焚化廠,2004,352625.9,0,355069.9
新北市樹林垃圾焚化廠,2003,353604.9,0,351307
新北市新店垃圾焚化廠,2021,214701.4,3342.03,220494.3
新北市新店垃圾焚化廠,2020,218116.9,4047.72,222558.3
新北市新店垃圾焚化廠,2019,192530.7,2617.08,199041.5
新北市新店垃圾焚化廠,2018,180556.3,0,186974.6
新北市新店垃圾焚化廠,2017,192189.4,0,197556.9
新北市新店垃圾焚化廠,2016,222545.2,5906.78,213186.7
新北市新店垃圾焚化廠,2015,233358.1,0,223107.5
新北市新店垃圾焚化廠,2014,199892.1,0,193551
新北市新店垃圾焚化廠,2013,184094.9,0,182473.7
新北市新店垃圾焚化廠,2012,174305,0,169824.7
新北市新店垃圾焚化廠,2011,167938.2,0,161232.8
新北市新店垃圾焚化廠,2010,180533.5,0,179292.7
新北市新店垃圾焚化廠,2009,212726.3,0,207942.6
新北市新店垃圾焚化廠,2008,227918.5,0,225426.1
新北市新店垃圾焚化廠,2007,240030.4,0,233250.2
新北市新店垃圾焚化廠,2006,232515.4,0,230641.9
新北市新店垃圾焚化廠,2005,237592.7,0,240609.6
新北市新店垃圾焚化廠,2004,250261.8,0,254172.1
新北市新店垃圾焚化廠,2003,253572.5,0,251297
新北市八里垃圾焚化廠,2021,377432.5,19794.16,395122.1
新北市八里垃圾焚化廠,2020,387950.9,30636.71,415689.8
新北市八里垃圾焚化廠,2019,385508.3,30051.64,419051.5
新北市八里垃圾焚化廠,2018,387465.6,26062.62,412210.4
新北市八里垃圾焚化廠,2017,378456.1,25525.09,407509.3
新北市八里垃圾焚化廠,2016,137487.3,266130.9,397775.3
新北市八里垃圾焚化廠,2015,110624,280633,393536.8
新北市八里垃圾焚化廠,2014,80229.58,282505.1,361543.4
新北市八里垃圾焚化廠,2013,79686.02,284455.4,368925
新北市八里垃圾焚化廠,2012,72736.34,314921.2,383110
新北市八里垃圾焚化廠,2011,109420,273205.1,386485.9
新北市八里垃圾焚化廠,2010,254853.4,159015.3,410389.7
新北市八里垃圾焚化廠,2009,291136.8,119714.5,413037.6
新北市八里垃圾焚化廠,2008,313372.5,107172.3,430803.1
新北市八里垃圾焚化廠,2007,380726.5,21828.28,406713.8
新北市八里垃圾焚化廠,2006,412795.2,0,419739.1
新北市八里垃圾焚化廠,2005,445258,0,435487.7
新北市八里垃圾焚化廠,2004,475337.8,0,468562.9
新北市八里垃圾焚化廠,2003,471259.9,0,456352
基隆市天外天垃圾資源回收(焚化)廠,2021,154963,38913.52,189322
基隆市天外天垃圾資源回收(焚化)廠,2020,146394.7,47548.04,189393.8
基隆市天外天垃圾資源回收(焚化)廠,2019,141713.9,51070.5,191487.2
基隆市天外天垃圾資源回收(焚化)廠,2018,147272.1,45261.6,193228.9
