工廠名稱,工廠市鎮鄉村里,工廠組織型態,工廠登記核准年分,工廠登記狀態,產業類別,主要產品
富菱工業有限公司太平廠,臺中市太平區建國里,有限公司,110年,生產中,25金屬製品製造業、29機械設備製造業,253金屬容器、291金屬加工用機械設備、292其他專用機械設備
珠友文化事業有限公司,雲林縣虎尾鎮埒內里,有限公司,110年,生產中,33其他製造業,331育樂用品
俐元企業股份有限公司,新北市樹林區三龍里,有限公司,98年,生產中,22塑膠製品製造業、33其他製造業,220塑膠製品、339未分類其他製品
世大照明股份有限公司,新北市新莊區福興里,股份有限公司,95年,生產中,28電力設備及配備製造業,285家用電器、284照明設備及配備
正安扣具股份有限公司,臺北市士林區永倫里,有限公司,63年,生產中,22塑膠製品製造業,220塑膠製品
先進動力工具有限公司,新北市汐止區復興里,有限公司,110年,生產中,29機械設備製造業,292其他專用機械設備
弘廣億企業有限公司,彰化縣秀水鄉埔崙村,有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
吉?工業有限公司,桃園市龜山區樂善里,有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
巨青電子有限公司,桃園市八德區瑞豐里,有限公司,94年,生產中,26電子零組件製造業,263印刷電路板
甲聖工業股份有限公司鹿港彰濱工業區二廠,彰化縣鹿港鎮海埔里,股份有限公司,110年,生產中,29機械設備製造業,291金屬加工用機械設備
勝億氣體實業有限公司,高雄市仁武區文武里,有限公司,109年,生產中,25金屬製品製造業,253金屬容器
應普徠股份有限公司,彰化縣花壇鄉橋頭村,股份有限公司,110年,生產中,13皮革、毛皮及其製品製造業、33其他製造業,130皮革、毛皮及其製品、339未分類其他製品
森立鋼索廠股份有限公司,南投縣南投市平山里,股份有限公司,83年,生產中,24基本金屬製造業、25金屬製品製造業,241鋼鐵
力晟電業有限公司,桃園市龍潭區烏林里,有限公司,105年,生產中,29機械設備製造業,291金屬加工用機械設備、292其他專用機械設備
中興生物機電有限公司,新北市樹林區三福里,有限公司,110年,生產中,28電力設備及配備製造業,284照明設備及配備
允偉興業股份有限公司農科分公司,屏東縣長治鄉德和村,股份有限公司,104年,生產中,08食品製造業、18化學材料及肥料製造業,087動物飼品、183肥料及氮化合物
逢成股份有限公司,南投縣南投市,股份有限公司,84年,生產中,25金屬製品製造業、32家具製造業,259其他金屬製品、322金屬家具
力浤鋼構有限公司,臺中市太平區勤益里,有限公司,110年,生產中,25金屬製品製造業,252金屬結構及建築組件
均泰實業股份有限公司,臺中市神岡區神洲里,股份有限公司,62年,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品
紫發城酒廠,屏東縣新園鄉新東村,獨資,92年,生產中,09飲料製造業、09飲料製造業,091酒精飲料
喬本生醫股份有限公司食品廠,屏東縣長治鄉德和村,股份有限公司,109年,生產中,08食品製造業、08食品製造業,089其他食品
翔煌工業社,彰化縣彰化市桃源里,獨資,82年,生產中,25金屬製品製造業,259其他金屬製品
新光紡織股份有限公司桃園廠,桃園市大溪區仁善里,股份有限公司,64年,生產中,11紡織業,112織布
久興國際工業股份有限公司,臺南市安南區,股份有限公司,95年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
強倫精機有限公司,臺中市西屯區協和里,有限公司,92年,生產中,30汽車及其零件製造業,303汽車零件
松鄉開發股份有限公司西埔廠,臺南市西港區新復里,股份有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、259其他金屬製品
星全企業有限公司,新北市樹林區三多里,有限公司,97年,生產中,25金屬製品製造業,259其他金屬製品
久鎮實業股份有限公司,臺中市大甲區日南里,股份有限公司,年,生產中,25金屬製品製造業,254金屬加工處理
凱鴻鋼鐵股份有限公司柳科廠,臺南市柳營區大農里,股份有限公司,108年,生產中,25金屬製品製造業,254金屬加工處理、252金屬結構及建築組件
擎鋒工業股份有限公司蘆竹廠,桃園市蘆竹區內厝里,股份有限公司,104年,生產中,29機械設備製造業,291金屬加工用機械設備、292其他專用機械設備、293通用機械設備
