incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt,buttomdustqt,flyashsolidqt,eqeffgasacqt,actelecqt,actsoldelecqt,actsoldelecpct,soldelecincome,operationhour,nooprthour,dsnprocqt,dustlandfillqt,applyno
臺北市政府環境保護局木柵垃圾焚化廠,2007,172309.4,51415.32,227979.5,26924.08,4168.41,0,67668.2,38481.76,56.868000,51255.63,24013,11027,,4168.41,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2006,170129.7,48581.74,205672.5,25336.81,3171.04,0,64644.16,36709.01,56.786000,46521.56,22772,12268,,3171.04,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2005,168961.9,38241.85,194696.8,25973.02,3090.93,81.62,60385,34120.67,56.505000,44951.24,20379.5,14660.5,,17056.95,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2004,207060.6,46098.72,230926.7,27762.59,4466.05,0,71021.8,41703.48,58.719000,53734.77,23176.3,11959.7,,31816.9,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2003,185806.1,54088.49,223719,25621.17,4183.16,85.02,61836.5,34166.45,55.253000,47790.67,21121.9,13918.1,,13397.95,wepa4059
臺北市政府環境保護局內湖垃圾焚化廠,2021,69476.94,70808.13,137799.4,16689.67,5970.43,67196.9,33600.45,18395.2,54.747000,40545.36,20770,5510,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2020,70991.82,83530.95,148806,16910.54,6221.27,48519.1,33821.12,17638.8,52.153000,33169.36,22479,3873,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2019,69514.78,78882.51,151647.1,20927.04,6468.31,82103.5,34639.64,17655.2,50.968000,33111.03,21447,4833,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2018,58408.68,105485.9,165967,19684.98,7189.58,89346.1,37431.54,18778.8,50.168000,36958.26,22328,3952,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2017,72005.73,76363.7,155982.7,18677.77,6366.18,74449.8,34789.44,16653.2,47.869000,31282.82,21202,5078,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2016,60762.93,84419.56,142017.5,18421.97,5606.45,79676,30826.75,14692,47.660000,26838.34,20911,5441,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2015,61266.08,87329.92,145591.1,19359.43,6186.37,89099.2,31355.15,14064.11,44.854000,29947.69,21570,4710,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2014,64049.91,83456.37,147211.4,20571.65,4358.56,90380.5,32393.73,15301.94,47.237000,33827.35,20114,6166,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2013,51012.95,101911.5,151526.2,22544.98,0,107461.8,32316.6,15260.64,47.222000,31660.3,19482,6798,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2012,63710.49,98124.78,164373.5,28178.06,0,111239.1,33825.59,16551.65,48.932000,30425.73,21174,5178,,0,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2011,58754.72,99758.32,157169,27866.12,0,93802.5,32663.3,15151.68,46.387000,26253.43,20617,5663,,53.49,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2010,51431.7,112937.4,161804.1,33027.68,7971.11,91440,33405.21,14538.1,43.520000,25347.26,21377,4903,,7971.11,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2009,49806.76,86617.32,141870.9,27992.66,5682.95,78265.9,30141.27,14212.96,47.154000,24398.03,17480,8800,,5682.95,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2008,71966,58220.49,133020.9,17707.01,5432.29,78120.2,27945.44,12594.54,45.068000,18294.19,16090,10262,,5432.29,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2007,82866.93,51331.22,141670.5,17991.71,5795.6,111240.1,28735.8,13309.38,46.316000,15447.62,19278,7002,,5795.6,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2006,77778.25,50026.8,134316.1,15710.85,5427.71,105257.6,30272.45,14435.71,47.686000,17114.13,17754,8526,,5427.71,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2005,81215.55,36765.99,127297.5,15813.08,4948.43,113439.2,28156.06,13407.46,47.618000,13843.2,17691,8589,,11634,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2004,80877.88,20851.38,95479.95,13250.37,4581.44,85904.8,21062.09,9907.35,47.039000,11757.47,12669,13683,,15642.33,WEPA4244
臺北市政府環境保護局內湖垃圾焚化廠,2003,117637.7,39421.13,144970,18739.66,4677.443,113596.2,31734.33,14641.95,46.139000,17644.01,18123,8157,,15564.97,wepa4244
臺中市烏日資源回收廠,2021,243805.7,39460.05,280324.2,35059.47,18383.08,126785,183605.6,150131.5,81.768000,302736.6,15939,1581,,18383.08,WEPL0028
臺中市烏日資源回收廠,2020,247180.4,48115.57,299131.6,38008.54,19088.81,111836.5,186305.4,151972.2,81.572000,294934.3,16237,1331,,19088.81,WEPL0028
臺中市烏日資源回收廠,2019,249401.3,49685.28,292540.7,36402.66,20435.98,108746.8,179871.7,145419.1,80.846000,273749.7,15930,1590,,20435.98,WEPL0028
臺中市烏日資源回收廠,2018,252253.4,46216.34,292257.1,38509.81,20059.45,108124,178281.7,143996.1,80.769000,267923.8,15769,1751,,20059.45,WEPL0028
臺中市烏日資源回收廠,2017,259930.8,41546.1,299055.2,39521.58,18232.05,106053.2,176094.5,141986.9,80.631000,259308,16033,1487,,16991.42,WEPL0028
臺中市烏日資源回收廠,2016,212718.2,97259.72,297938.2,41892.01,19485.04,105722.7,177009.3,142239.8,80.357000,270216.3,15969,1599,,25303.26,WEPL0028
臺中市烏日資源回收廠,2015,207283.4,98109.79,299191,40173.96,17916.05,107358.6,172170.5,136294.7,79.163000,295625.8,16125,1395,,17916.05,WEPL0028
臺中市烏日資源回收廠,2014,212176.7,97039.33,302076.2,40583.77,18396.89,151541.5,174828.2,139783.9,79.955000,327702.2,16228,1292,,18396.89,WEPL0028
臺中市烏日資源回收廠,2013,214539.7,95553.53,299708.2,41179.42,17706.62,189243.4,176595.1,141940.1,80.376000,309704.7,16245,1275,,17706.62,WEPL0028
臺中市烏日資源回收廠,2012,190815.1,115102,293290.6,41252.23,18290.55,183587.2,173494,139301.8,80.292000,276732.6,15763,1805,,19538.24,WEPL0028
臺中市烏日資源回收廠,2011,201989.5,112201.1,301322,42342.79,18814.3,187952.8,176599.1,142720.6,80.816000,287500.3,16142,1378,,25311.34,WEPL0028
臺中市烏日資源回收廠,2010,202881.9,111465.5,303851,43711.32,17655.53,189872.8,178034.4,144210.2,81.001000,291424.3,16327,1193,,28355.92,WEPL0028
臺中市烏日資源回收廠,2009,225775.2,103787.4,305678.9,45573.66,17853.65,191172.8,173338.8,138369.5,79.826000,272470.6,16440,1080,,26141.26,WEPL0028
臺中市烏日資源回收廠,2008,204498.9,108358.7,299091.6,47331.9,17073.71,188706,172838.8,136988.1,79.258000,231744.5,16227,1341,,53086.12,WEPL0028
臺中市烏日資源回收廠,2007,201435.3,113006.9,300136.2,44808.99,16462.96,183593.8,177701.5,141683.6,79.731000,207109.3,15786,1734,,57728.13,WEPL0028
臺中市烏日資源回收廠,2006,204189.8,108629.6,302389.8,47697.79,18222.53,188474.2,182116,146341.1,80.356000,205035,16186,1334,,65920.32,WEPL0028
臺中市烏日資源回收廠,2005,186626.9,115014.2,286515.7,47332.63,19662.87,186325.7,194979.2,159079.6,81.588000,212216.2,16001,1519,,66995.5,WEPL0028
臺中市烏日資源回收廠,2004,58445.13,42361.85,100172.2,16599.5,6341.27,67980.61,6317230,4851508,76.798000,59634.04,5812,716,,22940.77,WEPL0028
臺中市后里資源回收廠,2021,255176.4,17980.85,270788.3,34036.99,15497.62,121162.1,171665.6,143107,83.364000,282108.9,16098,1422,,15497.62,WEPL9232
臺中市后里資源回收廠,2020,271742.5,16807.98,287519.5,36759.23,14104.71,125037.5,177094.4,147375.5,83.219000,286364.9,16390,1178,,14104.71,WEPL9232
臺中市后里資源回收廠,2019,275832.9,17709.61,294665.7,37559.82,14772.4,122991.3,175894.1,146332.8,83.194000,280853.7,16316,1204,,14772.4,WEPL9232
臺中市后里資源回收廠,2018,271174.6,16866.79,286223.1,36623.69,14262.08,117631.7,163857.4,135807.6,82.882000,252070.2,16145,1375,,14262.08,WEPL9232
臺中市后里資源回收廠,2017,265110.5,16707.47,288445.5,37054.42,15085.92,116294.7,172032.2,142008.2,82.547000,245582.2,16258,1262,,19547.79,WEPL9232
臺中市后里資源回收廠,2016,211859.4,77560.22,285441.5,40951.73,15598.63,108548.9,173097,143376.1,82.830000,259651.8,16205,1363,,25039.94,WEPL9232
臺中市后里資源回收廠,2015,211484.8,77560.45,289723.1,40745.64,13360.12,107280.4,173843.4,144671.4,83.219000,305083.8,16286,1234,,15506.43,WEPL9232
臺中市后里資源回收廠,2014,213973.5,81557.59,296312.9,43198.46,14570.49,110033.1,179711.5,150007.1,83.471000,331841.3,16399,1121,,14811.61,WEPL9232
臺中市后里資源回收廠,2013,222446.6,77553.25,298751.3,42712.07,15553.37,113169,175048.4,146051.4,83.435000,301459.1,16357,1163,,15553.37,WEPL9232
臺中市后里資源回收廠,2012,218850.9,77554.99,291103.7,42563.82,15898.99,108915.4,129966.9,107352,82.599000,210886.3,16206,1362,,20857.12,WEPL9232
臺中市后里資源回收廠,2011,207394.5,81228.7,286911.4,42826.98,15496.46,100365.3,164906.2,136550.6,82.805000,251481.2,15883,1637,,27698.55,WEPL9232
臺中市后里資源回收廠,2010,213164.5,81427.9,293010.2,45504.55,14833.09,104959.2,170043.4,140425.4,82.582000,264345.4,16476,1044,,34416.97,WEPL9232
臺中市后里資源回收廠,2009,205972.7,77891.95,284666.4,45867.41,14854.11,106014.5,164826.6,135778.5,82.377000,247990.8,16227,1293,,25171.12,WEPL9232
臺中市后里資源回收廠,2008,203288.9,77667.82,278855.1,50922.36,14855.58,110555.3,158150.1,128663.7,81.355000,198499.8,15969,1599,,65777.94,WEPL9232
臺中市后里資源回收廠,2007,203121.1,81577.72,279005.4,48501.16,14280.2,109903,159424.8,130512.9,81.865000,177231.1,15921,1599,,62781.36,WEPL9232
臺中市后里資源回收廠,2006,205928.5,78168.3,273808.3,54569.05,13939.06,112406,157743.7,128389.5,81.391000,175010.5,16074,1446,,68508.11,WEPL9232
臺中市后里資源回收廠,2005,188870.3,78794.38,269103.1,48308.93,11389.3,110627.5,158007.8,129354.3,81.866000,170304.1,15857,1663,,59698.23,WEPL9232
臺中市后里資源回收廠,2004,188570.4,84153.04,272847.1,44958.44,14442.61,111447.2,165717.7,136811.9,82.557000,176663.7,16003,1565,,59401.05,WEPL9232
臺中市后里資源回收廠,2003,199715.5,80877.94,285254,47365.88,12376.23,109643.2,166094.6,136807.1,82.367000,163106.5,15983,1537,,61229.11,wepl9232
