sampledate,areaname,county,siteid,sitename,sampleaddress,sampleitem,samplevalue,itemunit
2016/05/09,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0090451,"pg I-TEQ/m3"
2016/05/09,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.0055181,"pg I-TEQ/m3"
2016/05/17,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.00601257220523275,"pg I-TEQ/m3"
2016/05/16,高屏空品區,屏東縣,59,屏東站,中正國小,戴奧辛,0.0456822273662552,"pg I-TEQ/m3"
2016/05/16,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.0690001660853679,"pg I-TEQ/m3"
2016/05/16,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.0613580935846561,"pg I-TEQ/m3"
2016/05/13,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0252327615634067,"pg I-TEQ/m3"
2016/05/13,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.0257095274007039,"pg I-TEQ/m3"
2016/05/03,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.0202048768225239,"pg I-TEQ/m3"
2016/05/03,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.0306998910675381,"pg I-TEQ/m3"
2016/05/16,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.088051,"pg I-TEQ/m3"
2016/05/16,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.0165896,"pg I-TEQ/m3"
2016/05/16,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.0217249,"pg I-TEQ/m3"
2016/05/16,中部空品區,台中市,32,西屯站,台中啟聰學校,戴奧辛,0.0208637,"pg I-TEQ/m3"
2016/05/16,中部空品區,台中市,30,大里站,大里市公所,戴奧辛,0.0085377,"pg I-TEQ/m3"
2016/05/09,竹苗空品區,苗栗縣,26,苗栗站,苗栗縣議會,戴奧辛,0.0138708,"pg I-TEQ/m3"
